# QuestionF2.dat
#	NPROCS	IMISS\_COST 	DMISS\_COST	WRITE\_COST	ACCESS\_TIME CPI
	1	16.0541		14.3447		0					1				1.42061
	2	17.5069		16.1298		0					1.42839	1.42908
	4	23.9456		21.1079		0.595562	4.99196	1.58367
	6	51.6789		41.5059		3.43646		10.7797	2.3027
	8	71.5392		58.0357		7.19707		15.7462	3.06756
